,gene_name,pathway
0,RAD21,"Nuclear mitotic cohesin complex, STAG1 variant"
1,SMC1A,"Nuclear mitotic cohesin complex, STAG1 variant"
2,SMC3,"Nuclear mitotic cohesin complex, STAG1 variant"
3,CCT3,Chaperonin-containing T-complex
4,CCT4,Chaperonin-containing T-complex
5,CCT6A,Chaperonin-containing T-complex
6,CCT7,Chaperonin-containing T-complex
7,TCP1,Chaperonin-containing T-complex
8,SNRPD1,Sm complex
9,SNRPD2,Sm complex
10,EIF3A,Eukaryotic translation initiation factor 3 complex
11,EIF3B,Eukaryotic translation initiation factor 3 complex
12,EIF3L,Eukaryotic translation initiation factor 3 complex
13,EIF3M,Eukaryotic translation initiation factor 3 complex
14,COX7B,Mitochondrial respiratory chain complex IV
15,COX7C,Mitochondrial respiratory chain complex IV
16,DNAJC19,"TIM23 mitochondrial inner membrane pre-sequence translocase complex, TIM17A variant"
17,GRPEL1,"TIM23 mitochondrial inner membrane pre-sequence translocase complex, TIM17A variant"
18,HSPA9,"TIM23 mitochondrial inner membrane pre-sequence translocase complex, TIM17A variant"
19,TIMM23,"TIM23 mitochondrial inner membrane pre-sequence translocase complex, TIM17A variant"
20,TIMM44,"TIM23 mitochondrial inner membrane pre-sequence translocase complex, TIM17A variant"
21,TSC1,TSC1-TSC2 complex
22,TSC2,TSC1-TSC2 complex
23,TELO2,TTT complex
24,TTI1,TTT complex
25,TTI2,TTT complex
26,ATP5F1B,Mitochondrial proton-transporting ATP synthase complex
27,ATP5ME,Mitochondrial proton-transporting ATP synthase complex
28,TRAPPC2L,"TRAPP II complex, TRAPPC2 variant"
29,TRAPPC4,"TRAPP II complex, TRAPPC2 variant"
30,RPL15,60S cytosolic large ribosomal subunit
31,RPL18,60S cytosolic large ribosomal subunit
32,RPL23,60S cytosolic large ribosomal subunit
33,RPL27A,60S cytosolic large ribosomal subunit
34,RPL30,60S cytosolic large ribosomal subunit
35,RPL32,60S cytosolic large ribosomal subunit
36,RPL34,60S cytosolic large ribosomal subunit
37,RPL35,60S cytosolic large ribosomal subunit
38,RPL37A,60S cytosolic large ribosomal subunit
39,RPL41,60S cytosolic large ribosomal subunit
40,RPL5,60S cytosolic large ribosomal subunit
41,RPL9,60S cytosolic large ribosomal subunit
42,RPLP1,60S cytosolic large ribosomal subunit
43,RPLP2,60S cytosolic large ribosomal subunit
44,UBA52,60S cytosolic large ribosomal subunit
45,COPA,"COPI vesicle coat complex, COPG1-COPZ1 variant"
46,COPB1,"COPI vesicle coat complex, COPG1-COPZ1 variant"
47,COPB2,"COPI vesicle coat complex, COPG1-COPZ1 variant"
48,COPZ1,"COPI vesicle coat complex, COPG1-COPZ1 variant"
49,VPS26A,"Retromer complex, VPS26A variant"
50,VPS29,"Retromer complex, VPS26A variant"
51,FAU,40S cytosolic small ribosomal subunit
52,RPS10,40S cytosolic small ribosomal subunit
53,RPS14,40S cytosolic small ribosomal subunit
54,RPS16,40S cytosolic small ribosomal subunit
55,RPS25,40S cytosolic small ribosomal subunit
56,RPS27A,40S cytosolic small ribosomal subunit
57,RPS28,40S cytosolic small ribosomal subunit
58,RPS29,40S cytosolic small ribosomal subunit
59,RPS3A,40S cytosolic small ribosomal subunit
60,RPS5,40S cytosolic small ribosomal subunit
61,RPS6,40S cytosolic small ribosomal subunit
62,RPS8,40S cytosolic small ribosomal subunit
63,RPS9,40S cytosolic small ribosomal subunit
64,RPSA,40S cytosolic small ribosomal subunit
65,ASNA1,GET complex
66,WRB,GET complex
67,POLR2B,DNA-directed RNA polymerase II complex
68,POLR2C,DNA-directed RNA polymerase II complex
69,POLR2D,DNA-directed RNA polymerase II complex
70,POLR2F,DNA-directed RNA polymerase II complex
71,POLR2H,DNA-directed RNA polymerase II complex
72,POLR2I,DNA-directed RNA polymerase II complex
73,EXOC4,"Exocyst, EXOC6 variant"
74,EXOC5,"Exocyst, EXOC6 variant"
75,EXOC7,"Exocyst, EXOC6 variant"
76,BORCS7,BORC complex
